parameter,description
a,ask
b,bid
b2,ask_realtime
b3,bid_realtime
p,previous_close
o,open
y,dividend_yield
d,dividend_per_share
r1,dividend_pay_date
q,ex-dividend_date
c1,change
c,change&percent_change
c6,change_realtime
k2,change_percent
p2,change_in_percent
d1,last_trade_date
d2,trade_date
t1,last_trade_time
c8,after_hours_change
c3,commission
g,day_low
h,day_high
k1,last_trade_realtime_with_time
l,last_trade_with_time
l1,last_trade_price_only
t8,1_yr_target_price
m5,change_from_200_day_mov_av
m6,percent_change_from_200_day_mov_av
m7,change_from_50_day_mov_av
m8,percent_change_from_50_day_mov_av
m3,50_day_mov_av
m4,200_day_mov_av
w1,day_value_change
w4,day_value_change_realtime
p1,price_paid
m,day_range
m2,day_range_realtime
g1,holding_gain_percent
g3,annualized_gain
g4,holdings_gain
g5,holdings_gain_percent_realtime
g6,holdings_gain_realtime
t7,ticker_trend
t6,trade_links
i5,order_book_realtime
l2,high_limit
l3,low_limit
v1,holdings_value
v7,holdings_value_realtime
s6,revenue
k,52_week_high
j,52_week_low
j5,change_from_52_week_low
k4,change_from_52_week_high
j6,percent_change_from_52_week_low
k5,percent_change_from_52_week_high
w,52_week_range
i,more_info
j1,market_capitalization
j3,market_cap_realtime
f6,float_shares
n,name
n4,notes
s,symbol
s1,shares_owned
x,stock_exchange
j2,shares_outstanding
v,volume
a5,ask_size
b6,bid_size
k3,last_trade size
a2,average_daily_volume
e,earnings_per_share
e7,EPS_estimate_current_year
e8,EPS_estimate_next_year
e9,EPS_estimate_next_quarter
b4,book_value
j4,EBITDA
p5,price_to_sales
p6,price_to_book
r,PE_ratio
r2,PE_ratio_realtime
r5,PEG_ratio
r6,price_to_EPS_estimate_current_year
r7,price_to_eps_estimate_next_year
s7,short_ratio